ID,FIRST_NAME,LAST_NAME,NATIONALITY,DOB,TEAM_ID
1,Stefano,Pioli,Italy,19/10/1965,1
2,Alfred,Schreuder,Netherlands,02/11/1972,2
3,Gian Piero,Gasperini,Italy,26/01/1958,3
4,Diego,Simeone,Argentina,28/04/1970,4
5,Julian,Nagelsmann,Germany,23/07/1987,5
6,Valérien,Ismaël,France,28/09/1975,6
7,Edin,Terzić,Germany,30/10/1982,7
8,Raphaël,Wicky,Switzerland,26/04/1977,8
9,Graham,Potter,England,20/05/1975,9
10,Carl,Hoefkens,Belgium,06/10/1978,10
11,Mircea,Lucescu,Romania,29/07/1945,11
12,Calvin,Xavi,Spain,25/01/1980,12
13,Sérgio,Conceição,Portugal,15/11/1974,13
14,Stjepan,Tomas,Croatia,03/06/1976,14
15,Simone,Inzaghi,Italy,05/04/1976,15
16,Massimiliano,Allegri,Italy,11/08/1967,16
17,Paulo,Fonseca,Portugal,05/03/1973,17
18,Jürgen,Klopp,Germany,16/06/1967,18
19,Åge,Hareide,Norway,23/09/1953,19
20,Pep,Guardiola,Spain,18/01/1971,20
21,Erik ten,Hag,Netherlands,02/02/1970,21
22,Christophe,Galtier,France,26/08/1966,22
23,Marco,Rose,Germany,11/09/1976,23
24,Matthias,Jaissle,Germany,05/04/1988,24
25,Carlo,Ancelotti,Italy,10/06/1959,25
26,Chris,Lopetegui,Spain,28/09/1966,26
27,Igor,Jovićević,Croatia,30/11/1973,27
28,Roger,Schmidt,Germany,13/03/1967,28
29,Rúben,Amorim,Portugal,27/01/1985,29
30,Niko,Kovač,Croatia,15/10/1971,30
31,Unai,Emery,Spain,03/11/1971,31
32,Sergey,Semak,Russia,27/02/1976,32
33,Daniel,Farke,Germany,30/10/1976,33
34,Albert,Capellas,Spain,01/10/1967,34
35,Stanislav,Cherchesov,Russia,02/09/1963,35
36,Aleksandr,Storozhuk,Russia,10/08/1981,36
37,Emre,Belözoğlu,Turkey,07/09/1980,37
38,Maurizio,Sarri,Italy,10/01/1959,38
39,Joe,Zinnbauer,Germany,01/05/1970,39
40,Carlos,Corberán,Spain,07/04/1983,40
41,,Míchel,Spain,23/03/1963,40
42,Igor,Tudor,Croatia,16/04/1978,41
43,Bruno,Génésio,France,01/09/1966,42
44,Xabi,Alonso,Spain,25/11/1981,43
45,Miloš,Milojević,Serbia,29/09/1982,44
46,Ante,Čačić,Croatia,29/09/1953,45
47,Okan,Buruk,Turkey,19/10/1973,46
48,Wouter,Vrancken,Belgium,03/02/1979,47
49,Peter,Bosz,Netherlands,21/11/1963,48
50,Luciano,Spalletti,Italy,07/03/1959,50
51,Antonio,Conte,Italy,31/07/1969,51
52,Gennaro,Gattuso,Italy,09/01/1978,52
53,André,Breitenreiter,Germany,02/10/1973,53
54,Matías,Almeyda,Argentina,21/12/1973,54
55,Philippe,Clement,Belgium,22/03/1974,55
56,José,Mourinho,Portugal,26/01/1963,56
57,Vladimir,Fedotov,Russia,12/08/1966,57
58,Frank,Kramer,Germany,03/05/1972,58
59,Ruud van,Nistelrooy,Netherlands,01/07/1976,59
60,Sofronis,Avgousti,Cyprus,09/03/1977,61
61,Ange,Postecoglou,Australia,27/08/1965,62
62,Alexander,Frei,Switzerland,15/07/1979,63
63,Arne,Slot,Netherlands,17/09/1978,64
64,Damir,Krznar,Croatia,10/07/1972,65
65,Qurban,Qurbanov,Azerbaijan,13/04/1972,66
66,Felice,Mazzù,Belgium,12/03/1966,67
67,Guillermo,Abascal,Spain,13/04/1989,68
68,Fernando,Torres,Spain,20/03/1984,68
69,Dmitriy,Kombarov,Russia,22/01/1987,69
70,Sandro,Wagner,Germany,29/11/1987,70
71,Stephan,Lichtsteiner,Switzerland,16/01/1984,71
72,Mikel,Arteta,Spain,26/03/1982,69
73,Jacob,Neestrup,Denmark,08/03/1988,70
74,Valeriy,Karpin,Russia,02/02/1969,71
75,Kosta,Runjaic,Germany,04/06/1971,72
76,Brendan,Rodgers,Northern Ireland,26/01/1973,73
77,Ante,Šimundža,Slovenia,28/09/1971,74
78,Nuri,Şahin,Turkey,05/09/1988,65
