ID,TEAM_NAME,HOME_STADIUM_ID
1,AC Milan,1
2,AFC Ajax,2
3,Atalanta,3
4,Atlético Madrid,4
5,Bayern München,5
6,Beşiktaş,6
7,Borussia Dortmund,7
8,BSC Young Boys,8
9,Chelsea FC,9
10,Club Brugge KV,10
11,Dinamo Kiev,11
12,FC Barcelona,12
13,FC Porto,13
14,FC Sheriff,14
15,Inter,1
16,Juventus,15
17,Lille OSC,16
18,Liverpool FC,17
19,Malmö FF,18
20,Manchester City,19
21,Manchester United,20
22,Paris Saint-Germain,21
23,RB Leipzig,22
24,RB Salzburg,22
25,Real Madrid,23
26,Sevilla FC,24
27,Shakhtar Donetsk,25
28,SL Benfica,26
29,Sporting CP,27
30,VfL Wolfsburg,28
31,Villarreal CF,29
32,Zenit St. Petersburg,30
33,Bor. Mönchengladbach,32
34,FC Midtjylland,33
35,Ferencvárosi TC,34
36,FK Krasnodar,35
37,İstanbul Başakşehir,36
38,Lazio Roma,37
39,Lokomotiv Moskva,38
40,Olympiakos Piraeus,39
41,Olympique Marseille,40
42,Stade Rennes,41
43,Bayer Leverkusen,45
44,Crvena Zvezda,46
45,Dinamo Zagreb,47
46,Galatasaray,48
47,KRC Genk,49
48,Olympique Lyon,50
49,Slavia Praha,51
50,SSC Napoli,52
51,Tottenham Hotspur,53
52,Valencia CF,54
53,1899 Hoffenheim,56
54,AEK Athen,57
55,AS Monaco,58
56,AS Roma,37
57,CSKA Moskva,59
58,FC Schalke 04,60
59,PSV Eindhoven,61
60,Viktoria Plzeň,62
61,APOEL Nikosia,66
62,Celtic FC,67
63,FC Basel,68
64,Feyenoord,69
65,NK Maribor,70
66,Qarabağ FK,71
67,RSC Anderlecht,72
68,Spartak Moskva,73
69,Arsenal FC,75
70,FC København,76
71,FK Rostov,77
72,Legia Warszawa,78
73,Leicester City,79
74,PFC Ludogorets Razgrad,80
